iso,pais,anio,pib_per_capita,exportaciones_pc,poblacion,inflacion
DEU,Alemania,1990,22385.6778250275,22.7404117768503,79433029,2.69646824292392
DEU,Alemania,1991,23443.3350818536,23.5660117742412,80013896,4.04703259753466
DEU,Alemania,1992,26559.8543879632,22.089549620151,80624598,5.05697796731731
DEU,Alemania,1993,25616.6508772405,19.8790217032561,81156363,4.47457650752808
DEU,Alemania,1994,27201.9593555204,20.6057061403032,81438348,2.69305639854954
DEU,Alemania,1995,31747.2449398447,21.4815282668309,81678051,1.70616041317076
DEU,Alemania,1996,30599.7891048363,22.2821690795205,81914831,1.44972701963239
DEU,Alemania,1997,27046.9565464237,24.7013999735662,82034771,1.93936968221574
DEU,Alemania,1998,27395.9440608051,25.6601609051036,82047195,0.911184687196224
DEU,Alemania,1999,26965.4922773722,26.0298761818567,82100243,0.585434192138622
DEU,Alemania,2000,23925.8559901991,29.6806532498145,82211508,1.44026838719741
DEU,Alemania,2001,23878.3641471651,30.5604113813066,82349925,1.98385731334471
DEU,Alemania,2002,25486.5942008748,31.1904504893495,82488495,1.42080615551526
DEU,Alemania,2003,30711.1022511331,31.2678451095809,82534176,1.03422218628562
DEU,Alemania,2004,34566.7359143735,33.9352126434777,82516260,1.66573696655992
DEU,Alemania,2005,35084.4363546269,35.9531497908166,82469422,1.54691114751328
DEU,Alemania,2006,36980.3349948954,38.9694499171537,82376451,1.57742642840563
DEU,Alemania,2007,42350.9217211489,40.6368056265783,82266372,2.29834400700951
DEU,Alemania,2008,46379.1647953479,40.9488738182043,82110097,2.62837981637219
DEU,Alemania,2009,42471.8868625226,35.4545162932994,81902307,0.312739007368447
DEU,Alemania,2010,42396.9665976293,39.4953465429823,81776930,1.1038103778926
DEU,Alemania,2011,47630.9761883572,41.6436286591115,80274983,2.07517283735874
DEU,Alemania,2012,44718.0159214069,42.6855834357406,80425823,2.00848884782956
DEU,Alemania,2013,47206.8353514242,41.6802838324356,80645605,1.50472330251876
DEU,Alemania,2014,48959.5991203133,41.6936675523627,80982500,0.906794000434246
DEU,Alemania,2015,41929.7549110722,42.5853976151835,81686611,0.514426137125456
DEU,Alemania,2016,42948.9381932694,41.6355419518592,82348669,0.491747008445174
DEU,Alemania,2017,45553.9341495339,42.2029575981591,82657002,1.50949485109628
DEU,Alemania,2018,48916.1686612154,42.4968914074717,82905782,1.73216879766942
DEU,Alemania,2019,47656.199739747,42.3402444816356,83092962,1.44565976888253
DEU,Alemania,2020,47394.8734504469,39.1198068808828,83160871,0.144877925813982
DEU,Alemania,2021,52349.2459994422,42.5198379291429,83196078,3.06666666666673
DEU,Alemania,2022,50506.5179638543,45.6284043425185,83177813,6.87257438551097
DEU,Alemania,2023,54776.7668235491,42.9672624196847,83287273,5.94643667725823
DEU,Alemania,2024,56103.7323182554,41.4340593720908,83516593,2.2564981433876
DEU,Alemania,2025,60496.4350820414,40.4347738545071,83491249,2.17178770949721
ARG,Argentina,1990,4315.33403111588,10.3595365925264,32755901,NA
ARG,Argentina,1991,5709.24784079504,7.67504334832217,33230294,NA
ARG,Argentina,1992,6789.99611136495,6.5981874720374,33693527,NA
ARG,Argentina,1993,6931.85596375876,6.90935153370832,34152717,NA
ARG,Argentina,1994,7437.56242327594,7.52994872591672,34613491,NA
ARG,Argentina,1995,7357.6162773788,9.68041025959015,35070020,NA
ARG,Argentina,1996,7663.21271287469,10.4285967560139,35513793,NA
ARG,Argentina,1997,8146.78710021431,10.5608501019262,35947791,NA
ARG,Argentina,1998,8218.99212764682,10.4155819610919,36372860,NA
